series_id,nama_kabupaten_kota,periode_update,kategori,jumlah
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2024-06-01,Beras Medium,11833.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2024-07-01,Beras Medium,12163.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2024-08-01,Beras Medium,12438.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2024-09-01,Beras Medium,12500.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2024-10-01,Beras Medium,12660.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2024-11-01,Beras Medium,12700.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2024-12-01,Beras Medium,12700.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2025-01-01,Beras Medium,12570.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2025-02-01,Beras Medium,12344.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2025-03-01,Beras Medium,12107.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2025-04-01,Beras Medium,12000.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2025-05-01,Beras Medium,11893.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2025-06-01,Beras Medium,11869.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2025-07-01,Beras Medium,12230.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2025-08-01,Beras Medium,11500.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2025-09-01,Beras Medium,12000.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2025-10-01,Beras Medium,12500.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2025-11-01,Beras Medium,12400.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2025-12-01,Beras Medium,12400.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2026-01-01,Beras Medium,12400.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2026-02-01,Beras Medium,12400.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2026-03-01,Beras Medium,12400.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2026-04-01,Beras Medium,12400.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2026-05-01,Beras Medium,12400.0
Kabupaten Bangkalan | Beras Medium,Kabupaten Bangkalan,2026-06-01,Beras Medium,12400.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2020-01-01,Beras Premium,10464.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2020-02-01,Beras Premium,10150.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2020-03-01,Beras Premium,10500.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2020-04-01,Beras Premium,10500.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2020-05-01,Beras Premium,10500.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2020-06-01,Beras Premium,10536.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2020-07-01,Beras Premium,10750.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2020-08-01,Beras Premium,10750.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2020-09-01,Beras Premium,10750.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2020-10-01,Beras Premium,10750.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2020-11-01,Beras Premium,10750.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2020-12-01,Beras Premium,10750.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2021-01-01,Beras Premium,10750.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2021-02-01,Beras Premium,10750.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2021-03-01,Beras Premium,10750.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2021-04-01,Beras Premium,10750.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2021-05-01,Beras Premium,10750.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2021-06-01,Beras Premium,10757.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2021-07-01,Beras Premium,10800.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2021-08-01,Beras Premium,10800.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2021-09-01,Beras Premium,10800.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2021-10-01,Beras Premium,10800.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2021-11-01,Beras Premium,11500.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2021-12-01,Beras Premium,11500.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2022-01-01,Beras Premium,11458.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2022-02-01,Beras Premium,11000.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2022-03-01,Beras Premium,11000.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2022-04-01,Beras Premium,10656.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2022-05-01,Beras Premium,10500.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2022-06-01,Beras Premium,10475.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2022-07-01,Beras Premium,10500.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2022-08-01,Beras Premium,10509.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2022-09-01,Beras Premium,11163.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2022-10-01,Beras Premium,11400.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2022-11-01,Beras Premium,11125.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2022-12-01,Beras Premium,11779.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2023-01-01,Beras Premium,12000.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2023-02-01,Beras Premium,11982.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2023-03-01,Beras Premium,12000.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2023-04-01,Beras Premium,12375.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2023-05-01,Beras Premium,12375.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2023-06-01,Beras Premium,12000.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2023-07-01,Beras Premium,12063.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2023-08-01,Beras Premium,12690.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2023-09-01,Beras Premium,13208.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2023-10-01,Beras Premium,13463.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2023-11-01,Beras Premium,13500.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2023-12-01,Beras Premium,13500.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2024-01-01,Beras Premium,13796.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2024-02-01,Beras Premium,14554.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2024-03-01,Beras Premium,14129.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2024-04-01,Beras Premium,15000.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2024-05-01,Beras Premium,14375.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2024-06-01,Beras Premium,13983.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2024-07-01,Beras Premium,14500.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2024-08-01,Beras Premium,14500.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2024-09-01,Beras Premium,14500.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2024-10-01,Beras Premium,14500.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2024-11-01,Beras Premium,14320.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2024-12-01,Beras Premium,14500.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2025-01-01,Beras Premium,14500.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2025-02-01,Beras Premium,14344.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2025-03-01,Beras Premium,14250.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2025-04-01,Beras Premium,14250.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2025-05-01,Beras Premium,14250.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2025-06-01,Beras Premium,14250.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2025-07-01,Beras Premium,14350.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2025-08-01,Beras Premium,14000.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2025-09-01,Beras Premium,14500.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2025-10-01,Beras Premium,15000.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2025-11-01,Beras Premium,14800.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2025-12-01,Beras Premium,14800.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2026-01-01,Beras Premium,14800.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2026-02-01,Beras Premium,14800.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2026-03-01,Beras Premium,14800.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2026-04-01,Beras Premium,14800.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2026-05-01,Beras Premium,14800.0
Kabupaten Bangkalan | Beras Premium,Kabupaten Bangkalan,2026-06-01,Beras Premium,14800.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2020-01-01,Jagung Pipil Kering,4590.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2020-02-01,Jagung Pipil Kering,4508.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2020-03-01,Jagung Pipil Kering,4040.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2020-04-01,Jagung Pipil Kering,3969.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2020-05-01,Jagung Pipil Kering,4703.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2020-06-01,Jagung Pipil Kering,4328.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2020-07-01,Jagung Pipil Kering,4300.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2020-08-01,Jagung Pipil Kering,4500.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2020-09-01,Jagung Pipil Kering,4500.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2020-10-01,Jagung Pipil Kering,4150.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2020-11-01,Jagung Pipil Kering,4213.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2020-12-01,Jagung Pipil Kering,4473.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2021-01-01,Jagung Pipil Kering,4844.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2021-02-01,Jagung Pipil Kering,4625.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2021-03-01,Jagung Pipil Kering,4150.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2021-04-01,Jagung Pipil Kering,4814.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2021-05-01,Jagung Pipil Kering,4814.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2021-06-01,Jagung Pipil Kering,5663.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2021-07-01,Jagung Pipil Kering,6223.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2021-08-01,Jagung Pipil Kering,6463.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2021-09-01,Jagung Pipil Kering,6500.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2021-10-01,Jagung Pipil Kering,6500.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2021-11-01,Jagung Pipil Kering,6607.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2021-12-01,Jagung Pipil Kering,6583.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2022-01-01,Jagung Pipil Kering,6200.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2022-02-01,Jagung Pipil Kering,4750.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2022-03-01,Jagung Pipil Kering,4750.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2022-04-01,Jagung Pipil Kering,4758.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2022-05-01,Jagung Pipil Kering,5417.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2022-06-01,Jagung Pipil Kering,5875.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2022-07-01,Jagung Pipil Kering,5833.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2022-08-01,Jagung Pipil Kering,5802.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2022-09-01,Jagung Pipil Kering,5929.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2022-10-01,Jagung Pipil Kering,6000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2022-11-01,Jagung Pipil Kering,5000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2022-12-01,Jagung Pipil Kering,5125.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2023-01-01,Jagung Pipil Kering,4844.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2023-02-01,Jagung Pipil Kering,4288.0
